,measurement_time,valve,valve_time,n_drops,inter_pulse_interval,weight,weight_per_drop,microliters
0,2021-04-06 15:31:53.762953,1,46.0,200,0.1,0.62,0.003,3.0
1,2021-04-06 15:33:04.349290,1,64.0,200,0.1,0.94,0.005,5.0
2,2021-04-06 15:34:31.849405,1,82.0,200,0.1,1.3,0.006999999999999999,7.0
3,2021-04-06 15:35:45.213519,1,10.0,200,0.1,0.13,0.001,1.0
4,2021-04-06 15:36:47.946279,1,28.0,200,0.1,0.35,0.002,2.0
5,2021-04-06 15:38:05.797694,3,46.0,200,0.1,0.63,0.003,3.0
6,2021-04-06 15:39:08.138113,3,64.0,200,0.1,1.03,0.005,5.0
7,2021-04-06 15:40:30.909683,3,82.0,200,0.1,1.3,0.006999999999999999,7.0
8,2021-04-06 15:41:31.889845,3,10.0,200,0.1,0.12,0.001,1.0
9,2021-04-06 15:42:33.974710,3,28.0,200,0.1,0.37,0.002,2.0
10,2021-08-16 13:33:55.016170,1,82.0,200,0.1,5.0,0.025,25.0
