,measurement_time,valve_id,valve_opening_time,n_drops,inter_pulse_interval,weight,weight_per_drop,volume_ul,water_weight_g
0,2022-10-29 17:22:08.990869,1,0.046,300,0.1,,,,1.02
1,2022-10-29 17:22:51.471083,1,0.028,300,0.1,,,,0.66
2,2022-10-29 17:23:50.089691,1,0.082,300,0.1,,,,1.45
3,2022-10-29 17:24:43.313535,1,0.064,300,0.1,,,,1.18
4,2022-10-29 17:25:20.328037,1,0.01,300,0.1,,,,0.21
5,2022-10-29 17:26:08.203061,3,0.046,300,0.1,,,,1.16
6,2022-10-29 17:26:50.685285,3,0.028,300,0.1,,,,0.68
7,2022-10-29 17:27:49.202957,3,0.082,300,0.1,,,,1.63
8,2022-10-29 17:28:42.580768,3,0.064,300,0.1,,,,1.37
9,2022-10-29 17:29:19.441264,3,0.01,300,0.1,,,,0.17
