,measurement_time,valve_id,valve_opening_time,n_drops,inter_pulse_interval,weight,weight_per_drop,volume_ul,water_weight_g
0,2022-10-30 09:58:06.599037,1,0.01,300,0.1,,,,0.21
1,2022-10-30 09:58:59.899710,1,0.064,300,0.1,,,,1.63
2,2022-10-30 09:59:58.540369,1,0.082,300,0.1,,,,1.89
3,2022-10-30 10:00:40.924941,1,0.028,300,0.1,,,,0.82
4,2022-10-30 10:01:28.770532,1,0.046,300,0.1,,,,1.31
5,2022-10-30 10:02:05.857950,3,0.01,300,0.1,,,,0.24
6,2022-10-30 10:02:59.178662,3,0.064,300,0.1,,,,1.64
7,2022-10-30 10:03:57.666416,3,0.082,300,0.1,,,,1.93
8,2022-10-30 10:04:40.271214,3,0.028,300,0.1,,,,0.83
9,2022-10-30 10:05:27.916522,3,0.046,300,0.1,,,,1.33
10,2023-05-06 11:55:38.292421,1,0.082,400,0.15,,,,5.64
11,2023-05-06 11:56:47.169850,1,0.01,400,0.15,,,,0.57
12,2023-05-06 11:58:10.462453,1,0.046,400,0.15,,,,2.94
13,2023-05-06 11:59:40.869357,1,0.064,400,0.15,,,,4.21
14,2023-05-06 12:00:56.938476,1,0.028,400,0.15,,,,1.66
15,2023-05-06 12:02:34.379312,3,0.082,400,0.15,,,,5.76
16,2023-05-06 12:03:43.293062,3,0.01,400,0.15,,,,0.6
17,2023-05-06 12:05:06.673139,3,0.046,400,0.15,,,,2.87
18,2023-05-06 12:06:36.908835,3,0.064,400,0.15,,,,4.28
19,2023-05-06 12:07:53.185676,3,0.028,400,0.15,,,,1.68
