,trial,delay
0,2,0.0317
1,3,0.031400000000000004
2,4,0.031400000000000004
3,5,0.0316
4,6,0.0376
5,7,0.0315
6,8,0.0307
7,9,0.031200000000000002
8,10,0.031400000000000004
9,11,0.038400000000000004
10,12,0.0313
11,13,0.036500000000000005
12,14,0.0308
13,15,0.0315
14,16,0.0315
15,17,0.0316
16,18,0.0315
17,19,0.031400000000000004
18,20,0.0367
19,21,0.031400000000000004
20,22,0.0316
21,23,0.0366
22,24,0.0309
23,25,0.0316
24,26,0.0364
25,27,0.031400000000000004
26,28,0.0317
27,29,0.0386
28,30,0.0313
29,31,0.0315
30,32,0.037700000000000004
31,33,0.031400000000000004
32,34,0.0315
33,35,0.0378
34,36,0.031400000000000004
35,37,0.0308
36,38,0.0307
37,39,0.036500000000000005
38,40,0.0383
39,41,0.0315
40,42,0.0357
41,43,0.0357
42,44,0.0313
43,45,0.0308
44,46,0.0316
45,47,0.0317
46,48,0.0358
47,49,0.031100000000000003
48,50,0.0307
49,51,0.0307
50,52,0.0367
51,53,0.0363
52,54,0.0313
53,55,0.0309
54,56,0.0308
55,57,0.0359
56,58,0.0376
57,59,0.031400000000000004
58,60,0.030600000000000002
59,61,0.0308
60,62,0.0367
61,63,0.031400000000000004
62,64,0.0316
63,65,0.0308
64,66,0.0308
65,67,0.0308
66,68,0.0308
67,69,0.0315
68,70,0.0309
69,71,0.0359
70,72,0.0315
71,73,0.036000000000000004
72,74,0.0364
73,75,0.0315
74,76,0.0359
75,77,0.0367
76,78,0.031100000000000003
77,79,0.036000000000000004
78,80,0.0315
79,81,0.0309
80,82,0.0309
81,83,0.0366
82,84,0.031
83,85,0.0309
84,86,0.0309
85,87,0.0369
86,88,0.0316
87,89,0.0366
88,90,0.037700000000000004
89,91,0.0315
90,92,0.0309
91,93,0.0308
92,94,0.0307
93,95,0.036000000000000004
94,96,0.0376
95,97,0.030600000000000002
96,98,0.036000000000000004
97,99,0.0383
98,100,0.030600000000000002
99,101,0.036000000000000004
100,102,0.0386
101,103,0.0307
102,104,0.0357
103,105,0.0315
104,106,0.0309
105,107,0.0309
106,108,0.0307
107,109,0.0308
108,110,0.036000000000000004
109,111,0.0316
110,112,0.031
111,113,0.0308
112,114,0.0359
113,115,0.0307
114,116,0.0364
115,117,0.0309
116,118,0.0359
117,119,0.0368
118,120,0.031
119,121,0.031200000000000002
120,122,0.036000000000000004
121,123,0.0316
122,124,0.0309
123,125,0.031200000000000002
124,126,0.0361
125,127,0.0307
126,128,0.0378
127,129,0.0307
128,130,0.036000000000000004
129,131,0.0307
130,132,0.0307
131,133,0.0308
132,134,0.0383
133,135,0.031
134,136,0.031100000000000003
135,137,0.031
136,138,0.0308
137,139,0.0316
138,140,0.031200000000000002
139,141,0.0362
140,142,0.0307
141,143,0.0308
142,144,0.031200000000000002
143,145,0.031100000000000003
144,146,0.0362
145,147,0.0309
146,148,0.036000000000000004
147,149,0.0361
148,150,0.0307
149,151,0.0363
150,152,0.031100000000000003
151,153,0.0361
152,154,0.031100000000000003
153,155,0.0361
154,156,0.0309
155,157,0.0363
156,158,0.0309
157,159,0.0373
158,160,0.031
159,161,0.0363
160,162,0.037000000000000005
161,163,0.0317
162,164,0.0313
163,165,0.031200000000000002
164,166,0.0362
165,167,0.0369
166,168,0.0309
167,169,0.0383
168,170,0.031100000000000003
169,171,0.0383
170,172,0.031100000000000003
171,173,0.0359
172,174,0.0376
173,175,0.031100000000000003
174,176,0.0313
175,177,0.0313
176,178,0.031100000000000003
177,179,0.0363
178,180,0.0308
179,181,0.0313
180,182,0.031100000000000003
181,183,0.031100000000000003
182,184,0.031400000000000004
183,185,0.031400000000000004
184,186,0.031100000000000003
185,187,0.0364
186,188,0.0317
187,189,0.036500000000000005
188,190,0.031100000000000003
189,191,0.0364
190,192,0.031
191,193,0.031200000000000002
192,194,0.0315
193,195,0.0363
194,196,0.031200000000000002
195,197,0.036500000000000005
196,198,0.031100000000000003
197,199,0.036500000000000005
198,200,0.031200000000000002
