level,reward1,reward2,reward3,reward4,final_reward,led1,led2,led3,led4,led5,response_window_s
1,5,5,5,5,5,90,90,90,90,90,36000
2,3,3,3,3,3,90,90,90,90,90,60
3,2,2,2,2,3,90,90,90,90,90,60
4,2,2,2,2,2,90,90,90,90,90,60
5,1,2,2,2,2,90,90,90,90,90,60
6,0,2,2,2,2,90,90,90,90,90,60
7,0,1,2,2,2,90,90,90,90,90,60
8,0,0,2,2,2,90,90,90,90,90,60
9,0,0,1,2,2,90,90,90,90,90,50
10,0,0,0,2,2,90,90,90,90,90,45
11,0,0,0,1,2,90,90,90,90,90,45
12,0,0,0,0,1.9,90,90,90,90,90,40
13,0,0,0,0,1.8,90,90,90,90,90,30
14,0,0,0,0,1.8,90,90,90,90,90,30
15,0,0,0,0,1.8,90,80,90,90,90,30
16,0,0,0,0,1.8,90,70,90,90,90,30
17,0,0,0,0,1.8,90,60,90,90,90,30
18,0,0,0,0,1.8,90,50,90,90,90,30
19,0,0,0,0,1.8,90,40,90,90,90,30
20,0,0,0,0,1.8,90,30,90,90,90,30
21,0,0,0,0,1.8,90,20,90,90,90,30
22,0,0,0,0,1.8,90,10,90,90,90,30
23,0,0,0,0,1.8,90,0,90,90,90,30
24,0,0,0,0,1.8,90,0,90,90,80,30
25,0,0,0,0,1.8,90,0,90,90,70,30
26,0,0,0,0,1.8,90,0,90,90,60,30
27,0,0,0,0,1.8,90,0,90,90,50,30
28,0,0,0,0,1.8,90,0,90,90,40,30
29,0,0,0,0,1.8,90,0,90,90,30,30
30,0,0,0,0,1.8,90,0,90,90,20,30
31,0,0,0,0,1.8,90,0,90,90,10,30
32,0,0,0,0,1.8,90,0,90,90,0,30
33,0,0,0,0,1.8,90,0,80,90,0,30
34,0,0,0,0,1.8,90,0,70,90,0,30
35,0,0,0,0,1.8,90,0,60,90,0,30
36,0,0,0,0,1.8,90,0,50,90,0,30
37,0,0,0,0,1.8,90,0,40,90,0,30
38,0,0,0,0,1.8,90,0,30,90,0,30
39,0,0,0,0,1.8,90,0,20,90,0,30
40,0,0,0,0,1.8,90,0,10,90,0,30
41,0,0,0,0,1.8,90,0,0,90,0,30
42,0,0,0,0,1.8,90,0,0,80,0,30
43,0,0,0,0,1.8,90,0,0,70,0,30
44,0,0,0,0,1.8,90,0,0,60,0,30
45,0,0,0,0,1.8,90,0,0,50,0,30
46,0,0,0,0,1.8,90,0,0,40,0,30
47,0,0,0,0,1.8,90,0,0,30,0,30
48,0,0,0,0,1.8,90,0,0,20,0,30
49,0,0,0,0,1.8,90,0,0,10,0,30
50,0,0,0,0,1.8,90,0,0,0,0,5
